Date,Open,High,Low,Close,Identifier
2012-12-31,5839.7,5856.4,5839.55,5847.5,NIFTY 100
2012-12-28,5821.5,5852.5,5816.25,5845.7,NIFTY 100
2012-12-27,5860.65,5862.6,5802,5806.8,NIFTY 100
2012-12-26,5801.1,5850.4,5798.4,5839.7,NIFTY 100
2012-12-24,5803.15,5808.5,5783.35,5793.2,NIFTY 100
2012-12-21,5830.65,5830.65,5779.85,5785.3,NIFTY 100
2012-12-20,5868.5,5868.5,5818,5854.8,NIFTY 100
2012-12-19,5848.7,5871.85,5846.85,5864.8,NIFTY 100
2012-12-18,5799.35,5837.7,5753.3,5830.9,NIFTY 100
2012-12-17,5783.6,5809.05,5777.75,5786.2,NIFTY 100
2012-12-14,5765.65,5803.75,5758.05,5799.5,NIFTY 100
2012-12-13,5818.7,5825.75,5759.8,5769.5,NIFTY 100
2012-12-12,5832.65,5841.65,5794,5808.1,NIFTY 100
2012-12-11,5841.95,5880.95,5781.5,5816.4,NIFTY 100
2012-12-10,5832.05,5838.8,5809,5829.1,NIFTY 100
2012-12-07,5851.55,5868.1,5806.95,5824.4,NIFTY 100
2012-12-06,5838.1,5858.5,5761.85,5848.6,NIFTY 100
2012-12-05,5820.25,5833.7,5808.4,5816.3,NIFTY 100
2012-12-04,5782.25,5810.8,5774.75,5805.2,NIFTY 100
2012-12-03,5785.05,5806.45,5768.6,5785.6,NIFTY 100
2012-11-30,5744.1,5790.35,5736.9,5786.1,NIFTY 100
2012-11-29,5652.4,5740.6,5652.4,5734.5,NIFTY 100
2012-11-27,5573.35,5649.2,5573.35,5644.3,NIFTY 100
2012-11-26,5553.35,5563.1,5541.35,5554.2,NIFTY 100
2012-11-23,5538.75,5543.75,5502.25,5534.8,NIFTY 100
2012-11-22,5527.45,5545.1,5510.5,5532.2,NIFTY 100
2012-11-21,5485.05,5520.2,5465.3,5515.7,NIFTY 100
2012-11-20,5507.75,5519.05,5452.5,5475.6,NIFTY 100
2012-11-19,5492.8,5508.05,5459.15,5479.3,NIFTY 100
2012-11-16,5541.4,5566.7,5477.2,5489.9,NIFTY 100
2012-11-15,5561.3,5561.3,5519.3,5546.7,NIFTY 100
2012-11-13,5594.35,5599.1,5569.15,5575.5,NIFTY 100
2012-11-12,5579.75,5610.45,5568.1,5589.2,NIFTY 100
2012-11-09,5621.35,5643.95,5570.45,5577.9,NIFTY 100
2012-11-08,5601.6,5633.15,5592.2,5627.8,NIFTY 100
2012-11-07,5600.55,5660.25,5596.15,5644.9,NIFTY 100
2012-11-06,5577.35,5610.8,5577.35,5605.2,NIFTY 100
2012-11-05,5577.7,5593.1,5562.8,5586.1,NIFTY 100
2012-11-02,5575.15,5594.9,5568.9,5581.8,NIFTY 100
2012-11-01,5495,5536.35,5491.3,5531.6,NIFTY 100
2012-10-31,5475.1,5507.55,5465.1,5503.2,NIFTY 100
2012-10-30,5531.45,5563.4,5468.65,5476.1,NIFTY 100
2012-10-29,5543.9,5573.7,5519.35,5539.2,NIFTY 100
2012-10-26,5569.1,5582.25,5522.65,5543.1,NIFTY 100
2012-10-25,5574.5,5598.15,5570.65,5587.8,NIFTY 100
2012-10-23,5600,5606.3,5567.9,5576.4,NIFTY 100
2012-10-22,5558.35,5604.05,5545.55,5601.3,NIFTY 100
2012-10-19,5592.9,5600.2,5548.2,5572.6,NIFTY 100
2012-10-18,5562.8,5609.4,5542.75,5606.2,NIFTY 100
2012-10-17,5566.9,5572.7,5524.05,5549.9,NIFTY 100
2012-10-16,5594.6,5605.25,5527.45,5538.7,NIFTY 100
2012-10-15,5571.5,5585.8,5549.3,5578.9,NIFTY 100
2012-10-12,5577.85,5620.9,5563.8,5573.1,NIFTY 100
2012-10-11,5553.35,5611.3,5527.8,5599.8,NIFTY 100
2012-10-10,5568.05,5579.05,5539.5,5543.7,NIFTY 100
2012-10-09,5594.85,5619.55,5569.9,5596.6,NIFTY 100
2012-10-08,5637.45,5637.45,5559.2,5567.7,NIFTY 100
2012-10-05,5695.4,5698.1,5146.65,5633.3,NIFTY 100
